ISBN	TITULO	AUTORES	DESCRIPCION	GENEROS	IMAGEN	ANIO	PUBLISHER
087113375X	Modern manners	P. J. O'Rourke	Manners are a way to express altruism in daily life.	Etiquette|Humor|Anecdotes, facetiae, satire|OverDrive|Humor (Nonfiction)|Nonfiction|Accessible book|Protected DAISY|In library	https://covers.openlibrary.org/b/id/6890147-M.jpg	1990	Atlantic Monthly Press
8445071408	El señor de los anillos	J. R. R. Tolkien	NODESCRIPTION	Fiction|Middle Earth (Imaginary place)|Frodo Baggins (Fictitious character)|English Fantasy fiction|Juvenile fiction|Ficción|Translations from English|Baggins, Frodo (Personaje literario)|Ficción fantástica inglesa|Translations into German|German Fantasy fiction|Tierra Media (Lugar imaginario)	NOIMAGE	2001	Minotauro
8445071769	El señor de los anillos	J. R. R. Tolkien	NODESCRIPTION	Fiction|Middle Earth (Imaginary place)|Frodo Baggins (Fictitious character)|English Fantasy fiction|Juvenile fiction|Ficción|Translations from English|Baggins, Frodo (Personaje literario)|Ficción fantástica inglesa|Translations into German|German Fantasy fiction|Tierra Media (Lugar imaginario)	NOIMAGE	2001	Minotauro
8445071777	El señor de los anillos	J. R. R. Tolkien	NODESCRIPTION	Fiction|Middle Earth (Imaginary place)|Frodo Baggins (Fictitious character)|English Fantasy fiction|Juvenile fiction|Ficción|Translations from English|Baggins, Frodo (Personaje literario)|Ficción fantástica inglesa|Translations into German|German Fantasy fiction|Tierra Media (Lugar imaginario)	NOIMAGE	2001	Distribooks
067976397X	Corelli's mandolin	Louis De Bernières	NODESCRIPTION	Fiction|World War, 1939-1945|History|War stories|Historical fiction|Accessible book|Protected DAISY|Man-woman relationships|Cephalonia Island (Greece)|In library	NOIMAGE	1995	Vintage
8472238822	Tu Nombre Escrito En El Agua (Premio La Sonrisa Vertical)	Irene Gonzalez Frei	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/5496503-M.jpg	2002	Tusquets
9724119378	O Deus Das Pequenas Coisas	Roy	NODESCRIPTION	NOGENRE	NOIMAGE	1998	Edicoes Asa
038572179X	Atonement	Ian McEwan	NODESCRIPTION	Fiction|Teenage girls|Ex-convicts|Country life|Guilt|Sisters|Psychological fiction|Domestic fiction|National Book Critics Circle Award Winner|award:national_book_critics_circle_award=2002|award:national_book_critics_circle_award=fiction|Family|World War, 1939-1945|False testimony|History|Accessible book|Protected DAISY|Large type books|Life change events|Teenagers|Great Britain|Atonement	NOIMAGE	2003	Anchor
1900850303	The Angelic Darkness	Richard Zimler	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/946856-M.jpg	1999	Arcadia Books
1903019699	The Soulbane Stratagem	Norman, Jr. Jetmundsen	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/2106966-M.jpg	2000	"John Hunt Publishing, Ltd."
8420639133	Temor Y Temblor / Fear and Trembling (Humanidades / Humanities)	Mark C. Taylor	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/3325210-M.jpg	2001	Alianza
8476409419	Estudios sobre el amor	José Ortega y Gasset	NODESCRIPTION	Love|Sex	https://covers.openlibrary.org/b/id/2271556-M.jpg	2001	Downtown Book Center
044651747X	Puerto Vallarta squeeze	Robert James Waller	NODESCRIPTION	Fiction|Novelists|Americans|Protected DAISY|OverDrive|Accessible book|In library	https://covers.openlibrary.org/b/id/3810204-M.jpg	1995	Warner Books
039575514X	My Antonia.	Willa Cather	NODESCRIPTION	Fiction|Farmers' spouses|Women pioneers|Married women|Farm life|Women immigrants|Czech Americans|Friendship|Frontier and pioneer life|Fiction in English|Love stories|OverDrive|Classic Literature|Literature|Protected DAISY	NOIMAGE	1995	Mariner Books
3150000335	Kabale Und Liebe	Friedrich Schiller	MILLER (walking quickly up and down the room).|MILLER (walking quickly up and down the room).	German drama|Accessible book	https://covers.openlibrary.org/b/id/996412-M.jpg	0	"Philipp Reclam, Jun Verlag GmbH"
3257203659	Der illustrierte Mann	Ray Bradbury	NODESCRIPTION	American Science fiction|Science fiction|English Short stories|Tattooing|Magic|Storytelling|American Fantasy fiction|American Horror stories|Fiction|Prejudice|Invasion|Space colonies|Space flight|Children|Protected DAISY|Accessible book|Large type books	NOIMAGE	2002	Diogenes
3257207522	Der König in Gelb.	Raymond Chandler	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/998711-M.jpg	1980	Diogenes Verlag
3257208626	Fahrenheit 451	Ray Bradbury	NODESCRIPTION	NOGENRE	NOIMAGE	1994	Distribooks Inc
3257208634	Die Mars- Chroniken. Roman in Erzählungen.	Ray Bradbury	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/998732-M.jpg	1981	Diogenes Verlag
3257208669	Das Böse kommt auf leisen Sohlen.	Ray Bradbury	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/998735-M.jpg	2003	Diogenes
3257210450	Löwenzahnwein. Roman.	Ray Bradbury	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/998763-M.jpg	1999	Diogenes Verlag
3257212054	Das Kind von morgen. Erzählungen.	Ray Bradbury	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/998786-M.jpg	2000	Diogenes Verlag
3257212429	Die Mechanismen der Freude. Erzählungen.	Ray Bradbury	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/998793-M.jpg	2000	Diogenes Verlag
3257214154	Familientreffen. Erzählungen.	Ray Bradbury	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/3176843-M.jpg	2000	Diogenes Verlag
3257216416	Der Tod kommt schnell in Mexico. Erzählungen.	Ray Bradbury	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/3176881-M.jpg	1988	Diogenes Verlag
3257233051	Veronika beschliesst zu sterben	Paulo Coelho	NODESCRIPTION	NOGENRE	NOIMAGE	2002	Distribooks
342311360X	Die liebe in den Zeiten der Cholera	Gabriel Garcia Marquez	NODESCRIPTION	Fiction|Accessible book|Protected DAISY|In library	NOIMAGE	0	Deutscher Taschenbuch Verlag (DTV)
3423116714	Die Klone der Joanna May. Roman.	Fay Weldon	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/1002989-M.jpg	1993	Dtv
3423241489	Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.	Arabella Weir	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/3190238-M.jpg	1998	Dtv
3426605686	Haifischfrauen	Kiana Davenport	NODESCRIPTION	Fiction|Women|Protected DAISY|Accessible book|In library	NOIMAGE	1996	"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co."
3453212150	Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.	Sue Townsend	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/6252674-M.jpg	2002	Heyne
3462021095	Schwarzer Tee mit drei Stück Zucker	Renan Demirkan	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/1010897-M.jpg	1991	Kiepenheuer &amp; Witsch
3492045642	Quer Schusse	Michael Moore (director)	NODESCRIPTION	Politics and government|Social conditions|Politische Kultur|Lebensbedingungen|Humor|USA / Regierung|American wit and humor	https://covers.openlibrary.org/b/id/1012586-M.jpg	2003	Piper
3498020862	Die Korrekturen.	Jonathan Franzen	NODESCRIPTION	NOGENRE	NOIMAGE	2002	"Rowohlt, Reinbek"
3499110695	Neun Erzählungen.	Jerome D. Salinger	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/1013698-M.jpg	1968	Rowohlt Tb.
3499151502	Hebt den Dachbalken hoch, Zimmerleute / Seymour wird vorgestellt.	Jerome D. Salinger	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/1013977-M.jpg	1998	Rowohlt Tb.
3518111000	Ulysses(German Text)	James Joyce	NODESCRIPTION	Fiction|Married people|Jewish men|City and town life|Artists|Alienation (Social psychology)|Male friendship|Facsimiles|Men|Manuscripts|Molly Bloom (Fictitious character)|Leopold Bloom (Fictitious character)|English Manuscripts|Fiction in English|Ficción|Psychological fiction|Domestic fiction|Translations into Irish|Textual Criticism|Bloom, Molly (Personaje literario)|Immoral Literature|Prohibited books|Bloom, Leopold (Personaje literario)|Proofs (Printing)|Law and legislation|Hombres|OverDrive|Protected DAISY|In library|Classic Literature|Accessible book|Historical Fiction	https://covers.openlibrary.org/b/id/1015876-M.jpg	1981	Suhrkamp
3548254268	Eine ganz normale Affäre.	Joanna Trollope	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/3233367-M.jpg	2002	Ullstein Tb
3570300099	Das Intimleben des Adrian Mole, 13 3/4 Jahre. cbt.	Sue Townsend	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/3236305-M.jpg	2002	"Bertelsmann, M�?¼nchen"
3596292646	Das Buch der lächerlichen Liebe	Milan Kundera	NODESCRIPTION	NOGENRE	NOIMAGE	2000	"Fischer (Tb.), Frankfurt"
038076654X	Petals on the river	Kathleen E. Woodiwiss	NODESCRIPTION	Fiction|History|Large type books|Accessible book|Protected DAISY|Love stories|In library|Popular Print Disabled Books	https://covers.openlibrary.org/b/id/235751-M.jpg	1997	Avon Trade
051513290X	Summer of storms.	Judith Kelman	NODESCRIPTION	Accessible book|Fiction|Murder victims' families|Murder victims' families in fiction|Protected DAISY|Psychological fiction|Sisters|Sisters in fiction|Summer	NOIMAGE	2002	Jove Books
140003180X	The Kalahari typing school for men	Alexander McCall Smith	NODESCRIPTION	Precious Ramotswe (Fictitious character)|Women private investigators|Fiction|Protected DAISY|Accessible book|Popular Print Disabled Books	https://covers.openlibrary.org/b/id/6901074-M.jpg	2004	Anchor
155874262X	Chicken soup for the soul	Jack Canfield	NODESCRIPTION	Spiritual life|Parables|Protected DAISY|Accessible book	https://covers.openlibrary.org/b/id/785174-M.jpg	1993	Health Communications
1558744150	Chicken soup for the woman's soul	Jack Canfield	NODESCRIPTION	Conduct of life|Women|Protected DAISY|OverDrive|Nonfiction|Self-Improvement|Character|Accessible book|In library	https://covers.openlibrary.org/b/id/6621135-M.jpg	1996	Health Communications
006102063X	Moving pictures	Terry Pratchett	NODESCRIPTION	Fiction|Discworld (Imaginary place)|Motion picture industry|discworld|fantasy	NOIMAGE	2002	HarperTorch
006052779X	Charlotte's web	E. B. White	NODESCRIPTION	Animals|Domestic animals|Fantasy|Farm life|Fiction|Folklore|Friendship|Juvenile fiction|Large type books|Latin language materials|Pets|Pigs|Spanish language materials|Spiders|Swine|Accessible book|Protected DAISY	NOIMAGE	2003	HarperFestival
034543191X	The King of Elfland's daughter	Lord Dunsany	NODESCRIPTION	Accessible book|In library|Protected DAISY	https://covers.openlibrary.org/b/id/209607-M.jpg	1999	Del Rey Books
037582345X	The Golden Compass (His Dark Materials, Book 1)	Philip Pullman	Lyra and her daemon moved through the darkening hall, taking care to keep to one side, out of sight of the kitchen.|Lyra and her daemon moved through the darkening hall, taking care to keep to one side, out of sight of the kitchen.	Children and adults|Experiments|Kidnapping|Missing persons|Polar bears|Political theology|Witches|Adventure stories|Fantasy|Juvenile fiction|Protected DAISY	https://covers.openlibrary.org/b/id/232339-M.jpg	2002	Knopf Books for Young Readers
1401201172	The league of extraordinary gentlemen	Alan Moore	NODESCRIPTION	Horror comic books, strips|Comic books, strips|Graphic novels|League of Extraordinary Gentlemen (Comic strip)	NOIMAGE	2003	DC Comics
1563892278	The Sandman	Neil Gaimen	NODESCRIPTION	Graphic novels	NOIMAGE	1998	DC Comics
1563898586	The league of extraordinary gentlemen	Alan Moore	NODESCRIPTION	Horror comic books, strips|Comic books, strips|Graphic novels|League of Extraordinary Gentlemen (Comic strip)	NOIMAGE	2002	DC Comics
156971620X	Harlequin Valentine	Neil Gaiman	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/815068-M.jpg	2002	Dark Horse Comics
1592571301	Alpha teach yourself American Sign Language in 24 hours	Trudy Suggs	NODESCRIPTION	American Sign Language|Protected DAISY	https://covers.openlibrary.org/b/id/868485-M.jpg	2003	Alpha Books
044023722X	A painted house	John Grisham	NODESCRIPTION	Fiction|Boys|Cotton farmers|Farm life|Ficción|Rural families|Migrant labor|Nineteen fifties|Children's secrets|Granjeros de algodón|Familias rurales|Vida agrícola|Muchachos|Mexican American migrant agricultural laborers|Tenant farmers|Baseball|Cotton growing|Migrant agricultural laborers|Accessible book|Protected DAISY|OverDrive|Literature|Suspense|NOVELAS ESTADOUNIDENSES|Popular Print Disabled Books|Large type books	https://covers.openlibrary.org/b/id/6630636-M.jpg	2001	Dell Publishing Company
1573225487	The romance reader	Pearl Abraham	NODESCRIPTION	Jewish girls|Jews|Hasidim|Fiction|Accessible book|Protected DAISY|In library	https://covers.openlibrary.org/b/id/6627217-M.jpg	1996	Riverhead Books
1853260673	Far from the Madding Crowd	Thomas Hardy	NODESCRIPTION	Fiction|Women farmers|Women farmers in fiction|Farm life in fiction|Farm life|Triangles (Interpersonal relations)|Social life and customs|Wessex (England in fiction|Fiction in English|OverDrive|Classic Literature|Historical Fiction|Romance|Protected DAISY|In library|Popular Print Disabled Books	NOIMAGE	1997	NTC/Contemporary Publishing Company
038081840X	Year's Best Fantasy	Kathryn Cramer	John Sullivan lives in Gaithersberg, Maryland, with Max,"the one-eyed pirate cat," and works as a journalist covering the wireless telecommunications industry.	OverDrive|Fantasy|Fiction	https://covers.openlibrary.org/b/id/237386-M.jpg	2001	Eos
055329198X	Wolf moon	John R. Holt	NODESCRIPTION	Werewolves|American Horror tales|Fiction	NOIMAGE	1997	Bantam
8483007010	El gust amarg de la cervesa	Simó, Isabel-Clara	NODESCRIPTION	NOGENRE	NOIMAGE	1999	Columna
1575843366	What shall I be?	Rita Balducci	NODESCRIPTION	Dolls|Fiction|Occupations|Toy and movable books	https://covers.openlibrary.org/b/id/829444-M.jpg	1999	Reader's Digest
1573228737	Affinity	Sarah Waters	Pa used to say that any piece of history might be made into a tale: it was only a question of deciding where the tale began, and where it ended.	Fiction|Millbank Penitentiary (London, England)|OverDrive|Prisons|Social life and customs|Spiritualism|Thriller|Women prisoners|Protected DAISY	https://covers.openlibrary.org/b/id/824383-M.jpg	2002	Riverhead Books
9681500555	Diario de Ana Frank	Anne Frank	NODESCRIPTION	Jews|Diaries|Personal narratives|World War, 1939-1945|children in the Holocaust, Jewish (1939-1945)|History|Persecutions|Ethnic relations|Judíos|Diarios íntimos|Netherlands|Relatos personales|Holocausto judío (1939-1945)|Relaciones étnicas|Historia|Persecuciones|Guerra Mundial II, 1939-1945|Jewish Personal narratives|Amsterdam (Netherlands)|German occupation, 1940-1945|Accessible book|Protected DAISY|In library|Biography	https://covers.openlibrary.org/b/id/1053880-M.jpg	2000	"Editores Mexicanos Unidos, S.A."
067153484X	The Music Box	Andrea Kane	WHY IN GOD'S NAME HAD SHE REQUESTED THIS MEETING?	NOGENRE	https://covers.openlibrary.org/b/id/406156-M.jpg	1998	Pocket
8433914545	El Palacio de la Luna	Paul Auster	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/2270143-M.jpg	1996	Anagrama
8484509141	Mientras Escribo / on Writing	Stephen King	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/5274656-M.jpg	2002	Distribooks
1559703237	Trying to save Piggy Sneed	John Irving	NODESCRIPTION	American Novelists|Biography|Criticism and interpretation|Accessible book|Protected DAISY|In library	https://covers.openlibrary.org/b/id/787573-M.jpg	1996	Arcade Publishing
3596214629	Herr Der Fliegen	Golding	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/1022732-M.jpg	0	Fischer Taschenbuch Verlag GmbH
038542471X	The client	John Grisham	NODESCRIPTION	Accessible book|Attorney and client|Brothers|Child witnesses|Confidential communications|Dutch fiction|Fiction|Fiction in Italian|Lawyers|Legal stories|Mafia|Murder|Mystery|Organized crime|OverDrive|Protected DAISY|Suicide victims|Suspense|Women lawyers|USA|FBI|In library|Popular Print Disabled Books	https://covers.openlibrary.org/b/id/240593-M.jpg	1993	Doubleday Books
067103619X	Lake news	Barbara Delinsky	NODESCRIPTION	Fiction|Journalism|Women|Libel and slander|Accessible book|Protected DAISY|Large type books|Popular Print Disabled Books	https://covers.openlibrary.org/b/id/6528134-M.jpg	2000	Pocket
076218857X	The doorbell rang	Rex Stout	NODESCRIPTION	Fiction|Private investigators|Nero Wolfe (Fictitious character)|Detective and mystery stories|Juvenile literature|OverDrive|Literary Criticism|Nonfiction|Accessible book|In library|Protected DAISY|Large type books|Popular Print Disabled Books	https://covers.openlibrary.org/b/id/6622330-M.jpg	2000	Readers Digest Assn
1575024179	The Day I Almost Quit	Frederick J. Moody	I did not want to go to heaven! Not yet.	NOGENRE	https://covers.openlibrary.org/b/id/827893-M.jpg	1997	F.J. Moody
1880185008	Serving as senders	Neal Pirolo	NODESCRIPTION	Appointment, call, and election|Missionaries|Missions	https://covers.openlibrary.org/b/id/926378-M.jpg	1991	Emmaus Road Intl
1567184294	The key of it all	David Allen Hulse	NODESCRIPTION	Alphabet|Divination|Language and languages|Magic|Miscellanea|Symbolism of numbers	https://covers.openlibrary.org/b/id/809118-M.jpg	2000	Llewellyn Publications
156718796X	Astral travel for beginners	Webster, Richard	NODESCRIPTION	Astral projection	https://covers.openlibrary.org/b/id/809358-M.jpg	1998	Llewellyn Publications
1862047626	Runes	Bernard King	NODESCRIPTION	Runes	NOIMAGE	2000	Harper Collins - UK
006101351X	The perfect storm	Sebastian Junger	NODESCRIPTION	Accessible book|Andrea Gail (Boat)|English language|Foreign speakers|Halloween Nor'easter, 1991|Northeast storms|Protected DAISY|Readers (Adult)|Shipwrecks|Study and teaching|Swordfish fisheries|Social life and customs|Natural disasters|Fisheries|Andrea Gail (Ship)|Hurricane Grace, 1991|Swordfish fishing|History|In library|Popular Print Disabled Books	https://covers.openlibrary.org/b/id/6983113-M.jpg	1998	HarperTorch
039456894X	Impossible vacation	Spalding Gray	NODESCRIPTION	Self-perception|Self-perception in fiction|Fiction|Accessible book|Protected DAISY|In library	NOIMAGE	1992	Random House Inc
1573225126	Prozac nation	Elizabeth Wurtzel	Some catastrophic situations invite clarity, explode in split moments: You smash your hand through a windowpane and then there is blood and shattered glass stained with red all over the place; you fall out a window and break some bones and scrape some skin.|Some catastrophic situations invite clarity, explode in split moments: You smash your hand through a windowpane and then there is blood and shattered glass stained with red all over the place; you fall out a window and break some bones and scrape some skin.	Biography|Depressed persons|Mental health|Protected DAISY|Accessible book|In library	https://covers.openlibrary.org/b/id/6764042-M.jpg	1997	Riverhead Books
1579651658	The journey from here	Bradley, Bill	NODESCRIPTION	American National characteristics|Civilization|Forecasting|Political and social views|Politics and government|Social conditions	https://covers.openlibrary.org/b/id/837592-M.jpg	2000	Artisan Publishers
1878424319	The four agreements	Miguel Ruiz	NODESCRIPTION	Conduct of life|Conduct of life.|Miscellanea|Toltec philosophy|Philosophy|Accessible book|Protected DAISY|In library	https://covers.openlibrary.org/b/id/924521-M.jpg	1997	Amber-Allen Publishing
8401351421	El desarrollo de Leonardo da Vinci	Luis Racionero	NODESCRIPTION	Biography|Artists	NOIMAGE	1986	Plaza &amp; Janés
8423324311	Gastronomia divina	Eugeni Perea Simón	NODESCRIPTION	NOGENRE	NOIMAGE	1994	Destino
8427007450	Desaparecido	Thomas Hauser	NODESCRIPTION	NOGENRE	NOIMAGE	1982	Lectorum Pubns (J)
8429734996	Hotel Europa	Vicenç Villatoro	NODESCRIPTION	NOGENRE	NOIMAGE	1992	Edicions 62
8429736131	La dona dels ulls de pluja	Víctor Mora	NODESCRIPTION	NOGENRE	NOIMAGE	1993	Edicions 62
8440616252	El paraiso	Elena Castedo	Cuando mi madre me anunció que esa tarde yo iba a ir al Paraiso, no le entedí.	NOGENRE	https://covers.openlibrary.org/b/id/5547738-M.jpg	1991	"Editiones B, Grupo Zeta"
8472224260	Negra i consentida	Ofèlia Dracs	NODESCRIPTION	NOGENRE	NOIMAGE	1983	Laia
8472227421	Essa efa	Ofèlia Dracs	NODESCRIPTION	NOGENRE	NOIMAGE	1985	Editorial Laia
8474103347	Espurnes de sang	Antoni Serra	NODESCRIPTION	NOGENRE	NOIMAGE	1987	Edicions de la Magrana
8475960936	Les llengües d'Africa	M. Carme Junyent	NODESCRIPTION	African languages|Sociolinguistics	NOIMAGE	1986	Editorial Empúries
8477830029	Trànsit	Jaume Capó	NODESCRIPTION	NOGENRE	NOIMAGE	1987	Area
8478091246	L' home del sac	Màrius Serra	NODESCRIPTION	NOGENRE	NOIMAGE	1990	Columna
8478097732	Gràcies per la propina	Ferran Torrent	NODESCRIPTION	NOGENRE	NOIMAGE	1995	Columna
8478098267	El Dia que es va cremar el Liceu	Joan Agut	NODESCRIPTION	NOGENRE	NOIMAGE	1995	Columna
8478800336	Cómo ser una mujer y no morir en el intento	Carmen Rico-Godoy	NODESCRIPTION	NOGENRE	NOIMAGE	1990	Ediciones Temas de Hoy
8478884963	Una casa en Irlanda	Maeve Binchy	NODESCRIPTION	NOGENRE	NOIMAGE	1999	Salamandra
8483002523	La mirada del tafur	Ferran Torrent	NODESCRIPTION	NOGENRE	NOIMAGE	1997	Columna
8486433193	Amorrada al piló	Maria Jaén	NODESCRIPTION	NOGENRE	NOIMAGE	1986	Columna
1853260622	War and peace	Leo Tolstoy	NODESCRIPTION	Fiction|Russia in fiction|History|Campaigns|Napoleonic Wars, 1800-1815 in fiction|Napoleonic Wars, 1800-1815|Napoleon in fiction|Russia|Social conditions|Soviet Union in fiction|Invasion of Russia, 1812|Napoleon I, Emperor of the French, 1769-1821 in fiction|Napoleon I, Emperor of the French, 1769-1821|Soviet Union  in fiction|Soviet Union|Napoléan in fiction|Napoleonic Wars in fiction|Napoleonic Wars|Napoleonic Wars, 1800-1814 in fiction|Napoleonic Wars, 1800-1814|Accessible book|Protected DAISY|Textual Criticism|Voǐna i mir|In library|Social life and customs|Translations from Russian|English fiction|Lending library|Popular Print Disabled Books	NOIMAGE	1997	NTC/Contemporary Publishing Company
1857938011	A-Z of Behaving Badly	Simon Nye	NODESCRIPTION	NOGENRE	NOIMAGE	1996	Trafalgar Square
8466601090	Las dos muertes de Gardel	Horacio Vázquez Rial	NODESCRIPTION	Fiction	https://covers.openlibrary.org/b/id/4911432-M.jpg	2002	Ediciones B
044021145X	The  firm	John Grisham	NODESCRIPTION	Legal stories|Mafia|Fiction|Accessible book|Protected DAISY|In library	https://covers.openlibrary.org/b/id/6654868-M.jpg	1992	Bantam Dell Publishing Group
074345829X	Philip Jose Farmer's The Dungeon	Bruce Coville	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/477767-M.jpg	2003	I Books
1561561428	Frankenstein	D. J. Arneson	NODESCRIPTION	Fiction|Horror stories|Horror tales|Monsters|Toleration	https://covers.openlibrary.org/b/id/4828935-M.jpg	1992	Kidsbooks.Com
